"","ke","Date","Plot","Plot_Full_Name","Site","Initials","Latitude","Longitude","Modified.Latitude","Modified.Longitude","UTM.X","UTM.Y","Elevation..m.","Slope","Aspect","Temp","Amynthas","Rain.in.last.24..in.hr.","Invasion.Mechanism","soil.collected","eDNA.collected","live.worms.collected","soil.moisture","drainage","litter.depth..cm.","Picture","worm.castings","litter.cover..1","litter.cover..2","litter.cover..3","litter.cover..4","Open.Sky","Crown.Density","dom.overstory..1","dom.overstory..2","dom.overstory..3","dom.overstory..4","dom.understory..1","dom.understory..2","dom.understory..3","dom.understory..4","dom.herbs..1","dom.herbs..2","dom.herbs..3","dom.herbs..4","Overstory...cover","Understory...Cover","Herbaceous.Layer...Cover","Moss.","Dom.Moss...Cover","Location.Notes","Fall","Detected.European","Lumbricus.rubellus.","Lumbricus.terrestris.","Aporrectodea.caliginosa.","Contamination","Temp.C","Rain.in.last.24..cm.hr.","avg.litter.cover","Plot.name","richness.quadrat","richness.saplings","richness.tree","shannon_diversity.quadrat","shannon_diversity.saplings","evenness.quadrat","evenness.saplings","evenness.tree","worm_species","shannon_diversity.tree"
"29","31","8/19/24","3","3. Sebago Beach","Sebago Lake","RW","43.9126","-70.57225",NA,NA,NA,NA,49,0,NA,72,"N",0,"trail parking lot about 30 ft away, lake and beach about 70 ft away","Y","Y","N","Mesic","Moderate",0.479197223684194,"Y","N",65,75,90,90,"9",90.64,"Quercus rubra","Pinus strobus","Acer rubrum","Fagus grandifolia","Acer rubrum","Fagus grandifolia",NA,NA,"Vaccinium angustifolium","Pteridium aquilinum","Gaultheria procumbens","Lysimachia borealis",75,5,50,"Y",10,"also indian cucumber present, flattish area, majorly hardwood by the beach and parking lot, no sign of worms, thickish leaf litter, 5 cwd, cloudy","N",NA,NA,NA,NA,"N",22.2222222222222,0,0.0412884062584014,"Sebago Lake 3",10,2,4,0.813420996594032,-0.578754735569125,0.923143165397874,1,0.875,NA,0.248387069380289
"30","29","8/19/24","1","1. NP Shelter","Sebago Lake","RW","43.91239","-70.55877",NA,NA,NA,NA,91,3,208,68,"Possibly, found a bunch of juveniles but could be european",0,"NP, Parking lot, ! 40 ft away, NP shelter about 35 ft, trail about 20 ft away, and lakeabout 30 ft away","Y","Y","N","Hydric","Poor",-0.257130217586641,"Y","N",90,95,85,75,"7",92.72,"Tsuga canadensis","Quercus rubra","Fagus grandifolia","Betula alleghaniensis",NA,NA,NA,NA,"Poaceae sp.","Fagus grandifolia","Arisaema triphyllum","Acer rubrum",90,NA,15,"Y",15,"leaves were 1.8 in some spots and 0 in others, slightly slopped, clay soil, wet area by little floodplain/flooding zone, cool cloudy day, 5 cwd, mix hardoowd and softwood, leaf litter is thin and patchy, mostly oak leavs","N","Y","N","Y","N","N",20,0,0.324640213914096,"Sebago Lake 1",3,4,5,-0.872028114439997,0.492436011678105,0.946394630357186,0.875,0.882367953256876,"Lumbricus terrestris",0.712149363008394
"31","30","8/19/24","2","2. Cub Point","Sebago Lake","RW","43.91008","-70.56432",NA,NA,NA,NA,81,3,256,68,"Possibly, found a bunch of juveniles but could be european",0,"marsh wetland about 10 ft away, road about 5 ft away, picnic area about 40 ft","Y","Y","N","Hydric","Poor",-1.15708597913988,"Y","N",90,70,95,55,"6",93.76,"Tsuga canadensis","Fagus grandifolia","Quercus rubra","Pinus strobus","Hamamelis virginiana",NA,NA,NA,"Poaceae sp.","Celastrus orbiculatus","Maianthemum canadense","Acer rubrum",90,5,20,"Y",2,"slightly sloped, mixed hard and softwood, right by the road, where close to marsh, clay like soil keeps having more worms, small patch of woodds between road and wetland patchy leaf litter, 15 cwd, partly cloudy brief 30 sec of rain before found a bunch of adults and juveniles that mightbe amynthas but likely euro","N","Y","N","Y","Y","Y",20,0,-0.0720523168038763,"Sebago Lake 2",6,7,7,0.203825798522103,1.53048662048619,0.967132018086354,0.882252804312393,0.929723392069026,"Lumbricus terrestris and Aporrectodea caliginosa",1.58329936560179
"32","32","8/23/24","1","1. by the parking lot","Colby Hume","RW","43.91263","-70.57223","44.508996","-69.758261","43.54758","70.34334",89,2,254,68,"Possibly, many juvenile worms",0,"road on either side about 15 ft away, hume lake about 60 ft away","Y","Y","N","Mesic","Moderate",-0.829829338575068,"Y","Maybe",50,75,80,75,"2",97.92,"Tsuga canadensis","Fraxinus americana","Acer rubrum","Fagus grandifolia",NA,NA,NA,NA,"Osmundastrum cinnamomeum","Polystichum acrostichoides","Acer pensylvanicum","Arisaema triphyllum",98,0,20,"Y",10,"SLIGHTLY SLOPED rocky area between hume road and private property, 5 cwd","N","Y","N","N","Y","Y",20,0,-0.412074485990709,"Colby Hume 1",9,1,4,0.844814454939109,-2.0070090652321,0.976614668672713,0,0.838368515026066,"Aporrectodea caliginosa",0.134674959991976
"33","33","8/26/24","3","3. Johnson Pond","Colby Arboretum","RW","43.91263","-70.57223","44.563779","-69.665469",NA,NA,182,4,12,80,"Possibly, found some juvenile worms",NA,"johnson pond about 30 ft way, ams and road about 25 ft away","Y","Y","N","Hydric","Moderate",0.0701264229781745,"Y","N",50,25,80,30,"4",95.84,"Acer rubrum","Betula papyrifera","Quercus rubra","Thuja occidentalis","Acer rubrum","Fraxinus americana","Malus sp. ",NA,"Doellingeria umbellata","Fraxinus americana","Veronica officinalis","Hieracium maculatum",95,30,30,"Y",10,"white pine also, slightly sloped wet area by floodplain of johnson pond and below AMS, hillside parking area. 20$ cloud cover, rained briefly (about an hour earlier) partly cloudy, I saw a mealworm try to attack an earthworm and saw two earwigs","N","Y","N","Y","N","Y",26.6666666666667,NA,-1.48881135508235,"Colby Arboretum 3",9,6,5,0.714789167602638,1.02919481798942,0.93848829226191,0.822377339362118,0.826165047177116,"Lumbricus terrestris",0.509600535135491
"34","34","8/27/24","1","1. welcome way","Falmouth Land Trust","RW","43.76734","-70.32373",NA,NA,NA,NA,122,3,108,74,"Possibly, found 3 juveniles",0,"white loop trail about 10 ft away, parking about 100 ft away, ","Y","Y","N","Mesic","Moderate",-0.584386858151457,"Y","Maybe granulated soil",60,45,75,70,"3",96.88,"Acer saccharum","Quercus rubra","Acer rubrum","Fagus grandifolia","Fagus grandifolia","Pinus strobus","Ostrya virginiana","Tsuga canadensis","Athyrium filix-femina","Onoclea sensibilis","Corylus cornuta","Fraxinus americana",95,10,60,"Y",5,"also buckthorn, slightly slopped hardwoodm sugar maple area by ephemeral streams/floodplain like , 5% cwd, granulated soil with patches of thin lef litter and base soil easier to shovel, right by white loop trailhead","N","N","N","N","N","N",23.3333333333333,0,-0.752096655177542,"Falmouth Land Trust 1",11,7,3,1.06823696668387,1.52544907724205,0.954915591279389,0.880996439061708,0.985056822321508,"No Worms Detected",-0.0445298376293682
"35","36","8/27/24","3","3. Hurricane Way","Falmouth Land Trust","RW","43.78961","-70.31664",NA,NA,NA,NA,30,0,NA,83,"Possibly, found a juvenile",0,"trail for bikes/hike was ~20 ft sway, road about 80 ft away, field about 20 ft, and I95 about 200 m away","Y","Y","N","Mesic","Moderate",1.46096714537864,"Y","N",85,90,98,100,"4",95.84,"Pinus strobus","Acer saccharum","Fraxinus americana","Prunus serotina","Fraxinus americana",NA,NA,NA,"Fraxinus americana","Impatiens capensis","Rhamnus cathartica","Circaea canadensis",99,5,25,"Y",1,"mixed hardwood and softwood area with a ton of weeds invasives y trail edge were people hike/bike maybe ride horses very close to I95 grey, sadly soil lots of branches, 15 cwd, easy soil to work in","N","N","N","N","N","Y",28.3333333333333,0,0.641994238488473,"Falmouth Land Trust 3",13,3,6,1.29395595887282,-0.0296887750358157,0.949419516900005,0.873479027870176,0.920876216632162,"No Worms Detected",1.22688385488415
"36","35","8/27/24","2","2. Fox Run Road","Falmouth Land Trust","RW","43.78147","-70.33348",NA,NA,NA,NA,120,2,298,80,"N",0,"vernal pool about 25 ft away, white oak trail about 10 ft away, road about 100 ft away","Y","Y","N","Mesic","Moderate",0.479197223684194,"Y","N",100,90,75,80,"12",87.52,"Acer rubrum","Pinus strobus","Quercus rubra","Fagus grandifolia","Fagus grandifolia","Abies balsamea","Pinus strobus","Tsuga canadensis","Osmundastrum cinnamomeum","Mitchella repens","Aralia nudicaulis","Quercus rubra",90,25,45,"Y",2,"slightly sloped , hardwood overstory but softwood, pine leaf litter, deep leaf litter, 5 cwd, ~ 25 avg dbh, right by white oak trail, mealworms and slugs found","N",NA,NA,NA,NA,"N",26.6666666666667,0,0.324640213914096,"Falmouth Land Trust 2",11,5,4,0.978629451309038,0.868256094333105,0.930839477825205,0.867008961045539,0.933816945485606,NA,0.430967681214751
"37","38","9/2/24","5","5. Organic Farm","Colby Arboretum","RW + AS","44.55936","-69.6668",NA,NA,NA,NA,132,4,358,65,"Possibly, found many juveniles",0,"trail to west lot about 15 ft, 2 feet 2 bedrock about 50 ft away","Y","Y","N","Mesic","Well",0.39738306354299,"Y","Maybe",98,95,90,70,"10",89.6,"Fraxinus americana","Quercus rubra","Acer rubrum","Pinus strobus","Fraxinus americana","Quercus rubra","Fagus grandifolia",NA,"Fraxinus americana","Quercus rubra","Hieracium maculatum","Rubus pubescens",80,25,30,"Y",3,"slightly slooped mix hardwood and softwood, small branches ~10 cwd, close by an organic farm, close by west lot and trail cloudy, cool and breezy, saw many juveniles, unsure of species","N","N","N","N","N","Y",18.3333333333333,0,0.415312792363918,"Colby Arboretum 5",4,4,4,-0.795695639768954,-0.442454597355706,0.785475297227334,0.5477156397788,0.931560284283315,"No Worms Detected",0.42396251323781
"38","37","9/2/24","4","4. West Lot/Washington Street","Colby Arboretum","RW + AS","44.55988","-69.66862",NA,NA,NA,NA,108,1,292,65,"Possibly, found juveniles and one adult",0,"washington street about 10 ft, west lot about 25 ft, and mowed lawns about 25 ft","Y","Y","Y","Mesic","Moderate",-0.0935018973042334,"Y","Maybe",90,85,95,95,"10",89.6,"Quercus rubra","Pinus strobus","Acer saccharum","Acer rubrum","Fagus grandifolia","Fraxinus americana","Acer rubrum","Corylus cornuta","Fraxinus americana","Maianthemum racemosum","Quercus rubra","Maianthemum canadense",85,15,55,"N",0,"slightly slopped thin strip of forest between washing street, and west lot, highly disturbed area, lots of broken branches haedwood area, poison ivy, japanese notweed, very visible houses, dry cool day, partly clowdy. allso american beech trees and red maple seedlings","N","Y","N","Y","N","N",18.3333333333333,0,0.551321660038651,"Colby Arboretum 4",15,7,4,1.56713009089401,1.49342234187713,0.96424083953769,0.873008958765196,0.933816945485606,"Lumbricus terrestris",0.430967681214751
"39","39","9/2/24","6","6. lower organic farm","Colby Arboretum","RW + AS","44.55888","-69.66528",NA,NA,NA,NA,126,5,240,65,"Possibly, many juveniles and adults",0,"organic farm about 20 ft away","Y","Y","N","Mesic","Moderate",-0.0935018973042334,"Y","Maybe granulated soil",96,90,90,80,"2",97.92,"Quercus rubra","Fagus grandifolia","Acer saccharum","Acer rubrum",NA,NA,NA,NA,"Maianthemum canadense","Acer rubrum",NA,NA,90,0,2,"Y",1,"slightly slopped hardwood forest w semi-deep leaf litter, found many possibly euro or amynthas worms, 5 cwd, partly cloudy, cool and breezy in patch of forest below organic farm","N","Y","N","Y","N","Y",18.3333333333333,0,0.449315009282601,"Colby Arboretum 6",3,4,1,-0.872028114439997,0.173208011298447,0.946394630357186,0.763245393782567,NA,"Lumbricus terrestris",-2.4678035460309
"40","40","9/2/24","7","7. Runnals Hill","Colby Arboretum","RW","44.5601","-69.66258",NA,NA,NA,NA,104,7,126,65,"Possibly, some older juveniles and maybe amynthas and euro",0,"runnals hill about 20 ft, heights about 200 ft, runnals lot about 40 ft, dana about 150 ft away","Y","Y","N","Mesic","Moderate",1.05189634467262,"Y","Maybe granulated soil",60,95,65,90,"6",93.76,"Quercus rubra","Fagus grandifolia","Acer platanoides",NA,"Acer rubrum","Acer platanoides","Betula sp.",NA,"Pteridium aquilinum","Maianthemum canadense","Prunus serotina","Betula sp. ",85,20,15,"Y",5,"slightly slopped area with hardwood trees bt runnals lot and behind dana/heights, some boulders, 10 cwd, clear sky, cool, breeze, found small dark/loamy soil mounds where larger juvinles sit, maybe amynthas/euro or just euro","N","Y","N","Y","N","Y",18.3333333333333,0,-0.0720523168038763,"Colby Arboretum 7",7,2,2,0.295233037378004,-0.62024467481338,0.920782221161602,0.970950594454669,0.91829583405449,"Lumbricus terrestris",-1.04250838795661
"41","43","9/3/24","3","3. Forests of the future","Viles Arboretum","RW","44.29586","-69.75988",NA,NA,NA,NA,111,0,NA,65,"Possibly, found juveniles and older juveniles",0,"forests of future, viles arboretum about 25 ft away","Y","Y","N","Hydric","Moderate",-1.5661567798459,"Y","Maybe",40,50,10,80,"7",92.72,"Quercus rubra","Acer saccharum","Fagus grandifolia","Betula populifolia","Fagus grandifolia","Tsuga canadensis",NA,NA,"Osmundastrum cinnamomeum","Thelypteris noveboracensis","Fraxinus americana",NA,95,5,5,"Y",3,"valley area with hardwoods by hemlock forest, clay soil, patchy, thin leaf litter, cobbles, 8% cwd, right by trail and prairie clear skies cool","N","N","N","N","N","Y",18.3333333333333,0,-1.54548171661349,"Viles Arboretum 3",2,7,5,-1.61299223918323,1.34881981106621,0.811278124459133,0.83694503115854,0.850631867888737,"No Worms Detected",0.59777615099924
"42","42","9/3/24","2","2. Hosta garden","Viles Arboretum","RW","44.29837","-69.76331",NA,NA,NA,NA,78,4,265,65,"Possibly, found many older juveniles",0,"hosta garden and trail about 50 ft, viles arb","Y","Y","N","Mesic","Moderate",1.13371050481383,"Y","Maybe",95,99,95,99,"6",93.76,"Fraxinus americana","Pinus strobus","Quercus rubra","Acer saccharum","Acer saccharum",NA,NA,NA,"Celastrus orbiculatus","Euonymus alatus","Acer saccharum","Vaccinium angustifolium",90,5,20,"Y",3,"slightly slopped mixed forest with deep leaf litter with many invasives, buckthorn, honeysuckle, norway maple, burning bush, oriental bittersweet, 3 cwd, no clouds. breezy and cool, found many soil clumps, with granulated, wetter soil","N","Y","Y","N","N","N",18.3333333333333,0,0.81200532308189,"Viles Arboretum 2",7,6,5,0.345077873602087,1.27149425237744,0.937285473777337,0.888005858343373,0.840174938583843,"Lumbricus rubellus",0.560090577038877
"43","41","9/3/24","1","1. Floodplain West Side","Viles Arboretum","RW","44.29818","-69.76548",NA,NA,NA,NA,65,7,288,62,"Possibly, found a bunch of juveniles but could be european",0,"nearby houses about 250 ft away","Y","Y","N","Hydric","Poor",-1.72978510012831,"Y","Maybe granulated soil",2,5,15,30,"4",95.84,"Acer saccharum","Fraxinus americana","Salix sp.",NA,"Fraxinus americana",NA,NA,NA,"Impatiens capensis","Poaceae sp.","Viburnum dentatum","Ranunculus repens",93,5,15,"Y",2,"clay hardwood flood plain slightly slopped by nearby houses in viles, 5 cwd, clear skys cool, breezy, found a bunch of clumped distributed soil patches where I would dig around and find worms","N","Y","N","Y","Y","N",16.6666666666667,0,-2.99624297181064,"Viles Arboretum 1",7,2,4,0.228819422097723,-0.727238580071059,0.898793169674556,0.896038232534557,0.896240625180289,"Lumbricus terrestris and Aporrectodea caliginosa",0.314322597129052
"44","45","9/7/24","9","9. Behind AC","Colby Arboretum","RW","44.56975","-69.66284",NA,NA,NA,NA,89,5,1,73,"Possibly, found juvenile worms",0.01,"I95 100 ft away, parking lot about 150 ft","Y","Y","N","Hydric","Poor",-1.72978510012831,"Y","Maybe",10,3,5,5,"3",96.88,"Fraxinus americana","Acer rubrum","Tsuga canadensis","Quercus rubra","Fagus grandifolia",NA,NA,NA,"Osmundastrum cinnamomeum","Athyrium filix-femina","Arisaema triphyllum",NA,97,3,10,"Y",3,"Sloped wet area w little leaf litter, mixd forest, 30 avg dbh, 15 cwd, found mostly juveniles and one big dead worm, started rainy during collect so moved to collect sample on the 8th","N","N","N","N","N","N",22.7777777777778,0.0254,-3.32493106869125,"Colby Arboretum 9",4,6,7,-0.422002904596729,1.56362675892534,0.959147917027245,0.967132018086354,0.925989517827245,"No Worms Detected",1.56702967835762
"45","44","9/7/24","8","8. Woodsmen Field","Colby Arboretum","RW","44.56522","-69.66811",NA,NA,NA,NA,98,5,310,75,"Possibly, amynthas maybed found",0.01,"woodsmen field about 45 ft, highway about 300 ft away, ","Y","Y","Y","Mesic","Moderate",-1.15708597913988,"Y","Maybe",98,95,90,95,"9",90.64,"Acer platanoides","Fraxinus americana","Pinus strobus","Acer rubrum","Fraxinus americana","Fagus grandifolia",NA,NA,"Onoclea sensibilis","Fraxinus americana","Dryopteris carthusiana","Prunus serotina",90,5,75,"Y",3,"Slightly sloped mixed forest with shallow leaf litter mostly conifer, lots of branches 15 cwd, cloudy slightly breezy, found a few younger worms struggling to find large ones","N","Y","N","Y","Y","Y",23.8888888888889,0.0254,0.698664600019612,"Colby Arboretum 8",8,3,3,0.472789276762627,-0.591231593282207,0.916666666666667,0.625418115623811,0.985056822321508,"Lumbricus terrestris and Aporrectodea caliginosa",-0.0445298376293687
"46","48","9/8/24","3","3. North deck","Seboeis Lake","RW","45.499","-68.88725",NA,NA,NA,NA,147,0,NA,65,"N",0.06,"deck boat launch 30 ft, road about 60 ft, trail","Y","Y","N","Mesic","Moderate",1.29733882509623,"Y","N",100,90,100,90,"7",92.72,"Thuja occidentalis","Abies balsamea","Acer rubrum","Pinus strobus","Abies balsamea",NA,NA,NA,"Pteridium aquilinum","Acer rubrum","Aralia nudicaulis","Abies balsamea",80,25,10,"Y",15,"Flat hardwood, but some hardwood deep leaf litter 35 cwd, 5 cm avg dbh, clear sky, cool, sun, no visible worms by dock","N","N","N","N","N","Y",18.3333333333333,0.1524,0.721332744632068,"Seboeis Lake 3",2,4,5,-1.40995507092105,-0.375203475697391,1,0.571258758207219,0.884861668999043,"No Worms Detected",0.721136428551008
"47","46","9/8/24","1","1. Southern Tip","Seboeis Lake","RW","45.40284","-68.87886",NA,NA,NA,NA,437,9,310,65,"N",0.06,"seboeis lake boat launch about 25 ft","Y","Y","N","Mesic","Well",1.78822378594346,"Y","N",95,99,90,85,"3",96.88,"Fagus grandifolia","Thuja occidentalis","Pinus strobus","Abies balsamea","Abies balsamea","Fagus grandifolia",NA,NA,"Gaultheria procumbens","Viburnum lantanoides","Dendrolycopodium obscurum","Acer pensylvanicum",85,20,30,"Y",2,"Slightly sloped mixed forest mostly with white pine leaves, 5 cwd, 25 avg dbh, no worms sighted, right by boat launch","N",NA,NA,NA,NA,"N",18.3333333333333,0.1524,0.596657949263562,"Seboeis Lake 1",13,4,3,1.26443048049795,0.298665939592567,0.942003165396816,0.807165417579633,0.985056822321508,NA,-0.0445298376293687
"48","47","9/8/24","2","2. Seboeis Outlook","Seboeis Lake","RW","45.45438","-68.85235",NA,NA,NA,NA,116,7,124,70,"Possibly",0.06,"stream/dam between seboeis lake and enless lake about 100 ft, road about 50 ft","Y","Y","Y","Mesic","Poor",-1.72978510012831,"Y","Maybe granulated soil",25,25,30,20,"5",94.8,"Fraxinus americana","Acer rubrum","Betula alleghaniensis","Populus grandidentata","Fraxinus americana","Abies balsamea","Betula alleghaniensis","Corylus cornuta","Onoclea sensibilis","Athyrium filix-femina","Poaceae sp.","Fraxinus americana",85,30,75,"Y",20,"slightly slopped, hardwood forest with little space leaf litter by a dam/stream some prairie plants and invasives (saw clover, etc.) diver understory 8 cwd, 5 avg dbh, little mound of more course soil/granulated where juvenile small worms","N",NA,NA,NA,NA,"N",21.1111111111111,0.1524,-2.45220750111171,"Seboeis Lake 2",16,5,4,1.42381624538123,0.622015486728227,0.908493518999289,0.792757439353184,0.975106032457373,NA,0.559138001845164
"49","49","9/14/24","1","1. Torsey Pond Nature Preserve","Kennebec Public Land Trust","RW","44.41855","-70.00068",NA,NA,NA,NA,129,4,96,75,"Possibly, found a juvenile",0,"trail about 10 m away, farm about 10 away, road about 100 ft, house about 150 ft away","Y","Y","N","Mesic","Moderate",-1.23890013928109,"Y","N",95,99,85,80,"9",90.64,"Fraxinus americana","Quercus rubra","Fagus grandifolia","Betula alleghaniensis","Tsuga canadensis","Fraxinus americana","Fagus grandifolia",NA,"Thelypteris noveboracensis","Tsuga canadensis","Osmundastrum cinnamomeum","Maianthemum canadense",90,5,15,"Y",21,"Slightly slopped bumpy terrain mixed hard and softwood diverse, 20 cm avg dbh, 10 cwd, clear sky, only 1 worm found","N","N","N","N","N","Y",23.8888888888889,0,0.483317226201284,"Kennebec Public Land Trust 1",4,6,6,-0.422002904596729,0.854857537913104,0.959147917027245,0.775156851524302,0.951328275106965,"No Worms Detected",1.34906187919046
"50","50","9/14/24","2","2. Tyler Conservation Area","Kennebec Public Land Trust","RW","44.40092","-69.97758",NA,NA,NA,NA,99,2,176,77,"N",0,"Road about 40 ft away, trail about 30 ft, parking lot about 40 ft","Y","Y","N","Mesic","Moderate",0.233754743260582,"Y","N",99,95,99,99,"0",100,"Fagus grandifolia","Pinus strobus","Acer saccharum","Quercus rubra","Fagus grandifolia","Tsuga canadensis",NA,NA,"Acer saccharum","Fagus grandifolia","Quercus rubra",NA,95,5,2,"N",0,"slightly slopped area with deep leaf litter 8 cwd, close by road and trailhead, checked a bunch of spots by trailheads and found no signs large white pine and smaller trees mixed hard and softwood","N",NA,NA,NA,NA,"N",25,0,0.857341612306801,"Kennebec Public Land Trust 2",5,3,3,-0.150183291991695,-0.840569338857664,0.934977529767123,0.515273445235094,0.858672711073255,NA,-0.35543910398601
"51","51","9/14/24","3","3. Garnet woods wyman memorial forest","Kennebec Public Land Trust","RW","44.36734","-69.8733",NA,NA,NA,NA,133,4,176,70,"Possiblu, found adult worm with milky white clitellium",0,"trail about 30 ft, road about 50 ft, woods about 40 ft, private prop about 100 ft","Y","Y","Y","Mesic","Moderate",-0.338944377727845,"Y","N",65,75,50,50,"5",94.8,"Acer saccharum","Fraxinus americana","Quercus rubra","Betula alleghaniensis","Abies balsamea",NA,NA,NA,"Dryopteris carthusiana","Onoclea sensibilis","Osmundastrum cinnamomeum","Quercus rubra",80,3,50,"Y",2,"slightly sloped area by stream, about 10 m and trail, 20 cwd, 25 avg dbh, conservation area and in kept to by private property and trail, pile of pallets cool clear sky, hardwood forest found. few adults w clitellum and slightly raised","N","Y","N","Y","N","N",21.1111111111111,0,-0.86543737823982,"Kennebec Public Land Trust 3",10,2,6,0.807898606164166,-0.915530670063206,0.921597969393911,0.76420450650862,0.909961750240577,"Lumbricus terrestris",1.18309345098798
"52","52","10/26/24","1","1. mt trail","Scopan Lake","RW","46.59005","-68.17951",NA,NA,NA,NA,249,0,NA,55,"N",0,"scopan loop trail about 25 ft, road about 20 ft, and parking lot about 10 ft away","Y","Y","N","Mesic","Well",1.29733882509623,"Y","N",100,100,100,100,"NA 3 filled",3.12,"Betula alleghaniensis","Picea rubens","Fagus grandifolia","Abies balsamea","Fagus grandifolia","Abies balsamea","Acer pensylvanicum",NA,"ACEPEN, NA FALL","FAGGRA NA FALL","NA FALL","NA FALL",15,10,0,"Y",2,"slightly bumpy terrain with lots of leaves, fall so much of understory is dead avg dbh is 30 cm, 1 cwd, lots of beech and red maple leaf litter","Y",NA,NA,NA,NA,"N",12.7777777777778,0,0.948014190756623,"Scopan Lake 1",6,6,6,0.1462023579056,1.01560500947539,0.946411928215015,0.818696443415055,0.967132018086354,NA,1.41246876169937
"53","53","10/26/24","2","2. Brook Stream","Scopan Lake","RW","46.50053","-68.18123",NA,NA,NA,NA,201,10,70,50,"Maybe, found one possible worm, likely euro",0,"about 50 ft from road, 25 ft from stream, close by hunting area","Y","Y","Y","Hydric","Poor",0.561011383825398,"Y","N",75,75,80,85,"NA 10 filled",10.4,"Betula alleghaniensis","Picea mariana","Thuja occidentalis","Abies balsamea","Abies balsamea","Acer rubrum","Fagus grandifolia",NA,"Dryopteris intermedia","Poaceae sp.","Epipactis helleborine","Picea rubens",10,5,50,"Y",10,"slopped area wth lots of cwd ~10, wet area with stream and road, lots of american beech and birch leaf litter, some cornus canadensis by stream, coptis trifolia, still many ferns, ~15 avg dbh","Y","Y","N","N","Y","N",10,0,-0.0153819552727374,"Scopan Lake 2",4,5,4,-0.603064636199472,1.07179175858791,0.875,0.928383211769586,0.921185496588554,"Aporrectodea caliginosa",0.39175691212536
"54","55","11/22/24","2","2","Coastal Botanical Gardens","RW + AS","43.87263","-69.66294",NA,NA,NA,NA,32,0,NA,52,"Maybe, found one adult worm",0.52,"trails about 5 ft away on either side, highly landscaped area, mini woods","Y","Y","N","Mesic","Well",2.44273706707309,"Y","N",100,100,98,95,"NA 3 filled, 95% in summer",3.12,"Quercus rubra","Acer rubrum","Betula papyrifera","Picea rubens","Hamalelis x Intermedia","Acer rubrum",NA,NA,"Gaultheria procumbens","Picea rubens","Pinus strobus","Rubus allegheniensis",5,10,20,"Y",4,"weird path of woods with thick layers of , more roots in soil, mix hard and sotwood lots of lights for event, gravel paths avg dbh of 20 cm","Y","N","N","N","N","N",11.1111111111111,1.3208,0.868675684613029,"Coastal Botanical Gardens 2",3,4,5,-0.915978987758888,0.463262429487311,0.920619835714305,0.864786979256811,0.942631203937882,"No Worms Detected",0.929331207162974
"55","54","11/22/24","1","1","Coastal Botanical Gardens","RW + AS","43.87211","-69.6627",NA,NA,NA,NA,23,16,61,55,"Maybe, found lots of juveniles",0.52,"botanic gardens, trail about 15 ft away, construction about 30 ft away","Y","Y","N","Hydric","Poor",2.19729458664948,"Y","Maybe granulated soil",90,90,80,100,"NA 21 filled",21.84,"Quercus rubra","Acer rubrum","Picea rubens","Abies balsamea","Abies balsamea","Quercus rubra","Acer pensylvanicum",NA,"Dryopteris carthusiana","Viola sp.","Abies balsamea","Poaceae sp.",10,15,5,"Y",5,"heavily leaved wet area in a concave valley between trails in coastal maine botanic gardens, ~10 cm avg dbh, partly cloudy, cool, hardwoods, missing leaves","Y","Y","N","N","Y","N",12.7777777777778,1.3208,0.494651298507512,"Coastal Botanical Gardens 1",4,4,4,-0.418095122566784,0.0948132361682683,0.960964047443681,0.735801130704899,0.812907291846956,"Aporrectodea caliginosa",0.0556377766137014
"56","56","11/22/24","3","3","Coastal Botanical Gardens","RW + AS","43.87262","-69.66293",NA,NA,NA,NA,67,3,352,50,"Possibly, 2 juvenile",0.52,"trail about 10 ft away, lilja about 30 ft away","Y","Y","N","Mesic","Well",1.46096714537864,"Y","N",100,100,100,100,"NA, 10 fille, would be 60",10.4,"Quercus rubra","Picea rubens","Acer rubrum",NA,"Abies balsamea","Fagus grandifolia","Picea rubens",NA,"Dryopteris intermedia","Abies balsamea","Picea rubens","Rubus allegheniensis",5,10,8,"Y",2,"next to trail about 5 ft, slanted, small rocks, lights, by music area and lilja, gravel trail, lots of leaves, mix hard and soft, 2 avg dbh, ","Y","Y","N","Y","Y","N",10,1.3208,0.948014190756623,"Coastal Botanical Gardens 3",4,5,2,-0.334101157958947,0.382364780777245,1,0.720493040054508,1,"Lumbricus terrestris and Aporrectodea caliginosa",-0.91569462293879
