ke,Date,Plot,Plot_Full_Name,Site,Initials,Latitude,Longitude,Modified Latitude,Modified Longitude,UTM X,UTM Y,Elevation (m),Slope,Aspect,Temp,Amynthas,Rain in last 24 (in/hr),Invasion Mechanism,soil collected,eDNA collected,live worms collected,soil moisture,drainage,litter depth (cm),Picture,worm castings,litter cover #1,litter cover #2,litter cover #3,litter cover #4,Open Sky,Crown Density,dom overstory #1,dom overstory #2,dom overstory #3,dom overstory #4,dom understory #1,dom understory #2,dom understory #3,dom understory #4,dom herbs #1,dom herbs #2,dom herbs #3,dom herbs #4,Overstory % cover,Understory % Cover,Herbaceous Layer % Cover,Moss?,Dom Moss % Cover,Location Notes,Fall
45,9/7/24,9,9. Behind AC,Colby Arboretum,RW,44.56975,-69.66284,,,,,89,5,1,73,"Possibly, found juvenile worms",0.01,"I95 100 ft away, parking lot about 150 ft",Y,Y,N,Hydric,Poor,0,Y,Maybe,10,3,5,5,3,96.88,FRAAME,ACERUB,TSUCAN,QUERUB,FAGGRA,NA,NA,NA,OSMCIN,ATHFIL,ARITRI,NA,97,3,10,Y,3,"Sloped wet area w little leaf litter, mixd forest, 30 avg dbh, 15 cwd, found mostly juveniles and one big dead worm, started rainy during collect so moved to collect sample on the 8th",N
46,9/8/24,1,1. Southern Tip,Seboeis Lake,RW,45.40284,-68.87886,,,,,437,9,310,65,N,0.06,seboeis lake boat launch about 25 ft,Y,Y,N,Mesic,Well,4.3,Y,N,95,99,90,85,3,96.88,FAGGRA,THUOCC,PINSTR,ABIBAL,ABIBAL,FAGGRA,NA,NA,GAUPRO,VIBLAN,DENOBS,ACEPEN,85,20,30,Y,2,"Slightly sloped mixed forest mostly with white pine leaves, 5 cwd, 25 avg dbh, no worms sighted, right by boat launch",N
47,9/8/24,2,2. Seboeis Outlook,Seboeis Lake,RW,45.45438,-68.85235,,,,,116,7,124,70,Possibly,0.06,"stream/dam between seboeis lake and enless lake about 100 ft, road about 50 ft",Y,Y,Y,Mesic,Poor,0,Y,Maybe granulated soil,25,25,30,20,5,94.8,FRAAME,ACERUB,BETALL,POPGRA,FRAAME,ABIBAL,BETALL,CORCOR,ONSE,ATHFIL,Poaceae sp.,FRAAME,85,30,75,Y,20,"slightly slopped, hardwood forest with little space leaf litter by a dam/stream some prairie plants and invasives (saw clover, etc.) diver understory 8 cwd, 5 avg dbh, little mound of more course soil/granulated where juvenile small worms",N
48,9/8/24,3,3. North deck,Seboeis Lake,RW,45.49900,-68.88725,,,,,147,0,NA,65,N,0.06,"deck boat launch 30 ft, road about 60 ft, trail",Y,Y,N,Mesic,Moderate,3.7,Y,N,100,90,100,90,7,92.72,THUOCC,ABIBAL,ACERUB,PINSTR,ABIBAL,NA,NA,NA,PTEAQU,ACERUB,ARANUD,ABIBAL,80,25,10,Y,15,"Flat hardwood, but some hardwood deep leaf litter 35 cwd, 5 cm avg dbh, clear sky, cool, sun, no visible worms by dock",N
49,9/14/24,1,1. Torsey Pond Nature Preserve,Kennebec Public Land Trust,RW,44.41855,-70.00068,,,,,129,4,96,75,"Possibly, found a juvenile",0,"trail about 10 m away, farm about 10 away, road about 100 ft, house about 150 ft away",Y,Y,N,Mesic,Moderate,0.6,Y,N,95,99,85,80,9,90.64,FRAAME,QUERUB,FAGGRA,BETALL,TSUCAN,FRAAME,FAGGRA,NA,THENOV,TSUCAN,OSMCIN,MAICAN,90,5,15,Y,21,"Slightly slopped bumpy terrain mixed hard and softwood diverse, 20 cm avg dbh, 10 cwd, clear sky, only 1 worm found",N
50,9/14/24,2,2. Tyler Conservation Area,Kennebec Public Land Trust,RW,44.40092,-69.97758,,,,,99,2,176,77,N,0,"Road about 40 ft away, trail about 30 ft, parking lot about 40 ft",Y,Y,N,Mesic,Moderate,2.4,Y,N,99,95,99,99,0,100,FAGGRA,PINSTR,ACESAC,QUERUB,FAGGRA,TSUCAN,NA,NA,ACESAC,FAGGRA,QUERUB,NA,95,5,2,N,0,"slightly slopped area with deep leaf litter 8 cwd, close by road and trailhead, checked a bunch of spots by trailheads and found no signs large white pine and smaller trees mixed hard and softwood",N
51,9/14/24,3,3. Garnet woods wyman memorial forest,Kennebec Public Land Trust,RW,44.36734,-69.87330,,,,,133,4,176,70,"Possiblu, found adult worm with milky white clitellium",0,"trail about 30 ft, road about 50 ft, woods about 40 ft, private prop about 100 ft",Y,Y,Y,Mesic,Moderate,1.7,Y,N,65,75,50,50,5,94.8,ACESAC,FRAAME,QUERUB,BETALL,ABIBAL,NA,NA,NA,DRYCAR,ONSE,OSMCIN,QUERUB,80,3,50,Y,2,"slightly sloped area by stream, about 10 m and trail, 20 cwd, 25 avg dbh, conservation area and in kept to by private property and trail, pile of pallets cool clear sky, hardwood forest found. few adults w clitellum and slightly raised",N
52,10/26/24,1,1. mt trail,Scopan Lake,RW,46.59005,-68.17951,,,,,249,0,NA,55,N,0,"scopan loop trail about 25 ft, road about 20 ft, and parking lot about 10 ft away",Y,Y,N,Mesic,Well,3.7,Y,N,100,100,100,100,NA 3 filled,3.12,BETALL,PICRUB,FAGGRA,ABIBAL,FAGGRA,ABIBAL,ACEPEN,NA,"ACEPEN, NA FALL",FAGGRA NA FALL,NA FALL,NA FALL,15,10,0,Y,2,"slightly bumpy terrain with lots of leaves, fall so much of understory is dead avg dbh is 30 cm, 1 cwd, lots of beech and red maple leaf litter",Y
53,10/26/24,2,2. Brook Stream,Scopan Lake,RW,46.50053,-68.18123,,,,,201,10,70,50,"Maybe, found one possible worm, likely euro",0,"about 50 ft from road, 25 ft from stream, close by hunting area",Y,Y,Y,Hydric,Poor,2.8,Y,N,75,75,80,85,NA 10 filled,10.4,BETALL,PICMAR,THUOCC,ABIBAL,ABIBAL,ACERUB,FAGGRA,NA,DRYINT,Poaceae sp.,EPIHEL,PICRUB,10,5,50,Y,10,"slopped area wth lots of cwd ~10, wet area with stream and road, lots of american beech and birch leaf litter, some cornus canadensis by stream, coptis trifolia, still many ferns, ~15 avg dbh",Y
54,11/22/24,1,1,Coastal Botanical Gardens,RW + AS,43.87211,-69.66270,,,,,23,16,61,55,"Maybe, found lots of juveniles",0.52,"botanic gardens, trail about 15 ft away, construction about 30 ft away",Y,Y,N,Hydric,Poor,4.8,Y,Maybe granulated soil,90,90,80,100,NA 21 filled,21.84,QUERUB,ACERUB,PICRUB,ABIBAL,ABIBAL,QUERUB,ACEPEN,NA,DRYCAR,Viola sp.,ABIBAL,Poaceae sp.,10,15,5,Y,5,"heavily leaved wet area in a concave valley between trails in coastal maine botanic gardens, ~10 cm avg dbh, partly cloudy, cool, hardwoods, missing leaves",Y
55,11/22/24,2,2,Coastal Botanical Gardens,RW + AS,43.87263,-69.66294,,,,,32,0,NA,52,"Maybe, found one adult worm",0.52,"trails about 5 ft away on either side, highly landscaped area, mini woods",Y,Y,N,Mesic,Well,5.1,Y,N,100,100,98,95,"NA 3 filled, 95% in summer",3.12,QUERUB,ACERUB,BETPAP,PICRUB,Hamalelis x Intermedia,ACERUB,NA,NA,GAUPRO,PICRUB,PINSTR,RUBALL,5,10,20,Y,4,"weird path of woods with thick layers of , more roots in soil, mix hard and sotwood lots of lights for event, gravel paths avg dbh of 20 cm",Y
56,11/22/24,3,3,Coastal Botanical Gardens,RW + AS,43.87262,-69.66293,,,,,67,3,352,50,"Possibly, 2 juvenile",0.52,"trail about 10 ft away, lilja about 30 ft away",Y,Y,N,Mesic,Well,3.9,Y,N,100,100,100,100,"NA, 10 fille, would be 60",10.4,QUERUB,PICRUB,ACERUB,NA,ABIBAL,FAGGRA,PICRUB,NA,DRYINT,ABIBAL,PICRUB,RUBALL,5,10,8,Y,2,"next to trail about 5 ft, slanted, small rocks, lights, by music area and lilja, gravel trail, lots of leaves, mix hard and soft, 2 avg dbh, ",Y
,web:,,https://erenweb.org/active-projects/pfpp/permanent-plot-protocol/species-codes/,https://plants.usda.gov/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
